"lat","lng","year","freq","city","state","state_code","mean_dur"
43.1621,-86.2519,2020,1,"norton shores","michigan","MI",1800
43.1631,-111.0196,2012,1,"alpine","wyoming","WY",NA
43.1631,-111.0196,2019,1,"alpine","wyoming","WY",3600
43.1661,-83.5247,2000,1,"otisville","michigan","MI",60
43.1661,-83.5247,2007,1,"otisville","michigan","MI",600
43.1661,-83.5247,2020,1,"otisville","michigan","MI",300
43.168,-77.6162,1965,1,"rochester","new york","NY",180
43.168,-77.6162,1972,1,"rochester","new york","NY",600
43.168,-77.6162,1974,1,"rochester","new york","NY",259200
43.168,-77.6162,1993,1,"rochester","new york","NY",300
43.168,-77.6162,1995,1,"rochester","new york","NY",300
43.168,-77.6162,2003,1,"rochester","new york","NY",60
43.168,-77.6162,2005,1,"rochester","new york","NY",NA
43.168,-77.6162,2006,1,"rochester","new york","NY",600
43.168,-77.6162,2007,4,"rochester","new york","NY",112710
43.168,-77.6162,2008,2,"rochester","new york","NY",216060
43.168,-77.6162,2009,4,"rochester","new york","NY",225
43.168,-77.6162,2010,9,"rochester","new york","NY",325445.625
43.168,-77.6162,2011,9,"rochester","new york","NY",49731.4285714286
43.168,-77.6162,2012,7,"rochester","new york","NY",432214.285714286
43.168,-77.6162,2013,4,"rochester","new york","NY",170
43.168,-77.6162,2014,17,"rochester","new york","NY",75396
43.168,-77.6162,2015,11,"rochester","new york","NY",173247.272727273
43.168,-77.6162,2016,3,"rochester","new york","NY",648400
43.168,-77.6162,2017,3,"rochester","new york","NY",720100
43.168,-77.6162,2018,4,"rochester","new york","NY",325560
43.168,-77.6162,2019,3,"rochester","new york","NY",174000
43.168,-77.6162,2020,10,"rochester","new york","NY",1695
43.168,-77.6162,2021,1,"rochester","new york","NY",1296000
43.1698,-78.6956,2009,1,"lockport","new york","NY",180
43.1698,-78.6956,2011,1,"lockport","new york","NY",120
43.1698,-78.6956,2012,3,"lockport","new york","NY",230
43.1698,-78.6956,2013,3,"lockport","new york","NY",390
43.1698,-78.6956,2014,4,"lockport","new york","NY",1944217.5
43.1698,-78.6956,2015,2,"lockport","new york","NY",648000
43.1698,-78.6956,2018,1,"lockport","new york","NY",120
43.1698,-78.6956,2020,3,"lockport","new york","NY",1510
43.1706,-70.622,2010,1,"cape neddick","maine","ME",4
43.1706,-70.622,2014,3,"cape neddick","maine","ME",577200
43.1726,-89.0614,2007,1,"marshall","wisconsin","WI",120
43.1726,-89.0614,2013,1,"marshall","wisconsin","WI",300
43.1726,-89.0614,2018,1,"marshall","wisconsin","WI",480
43.1726,-89.0614,2020,1,"marshall","wisconsin","WI",60
43.1743,-87.975,2012,1,"brown deer","wisconsin","WI",180
43.1743,-87.975,2018,1,"brown deer","wisconsin","WI",180
43.1743,-87.975,2020,2,"brown deer","wisconsin","WI",330
43.1749,-101.7324,1984,1,"martin","south dakota","SD",300
43.1765,-83.8932,2014,1,"montrose","michigan","MI",120
43.1773,-83.7355,2012,2,"clio","michigan","MI",330
43.1773,-83.7355,2016,1,"clio","michigan","MI",1800
43.179,-95.4768,2006,1,"hartley","iowa","IA",60
43.1796,-95.8441,2013,1,"sheldon","iowa","IA",300
43.1797,-85.2533,2007,1,"greenville","michigan","MI",900
43.1797,-85.2533,2008,1,"greenville","michigan","MI",NA
43.1797,-85.2533,2017,1,"greenville","michigan","MI",300
43.1802,-124.1841,2020,1,"coquille","oregon","OR",3600
43.1814,-95.6553,2015,1,"sanborn","iowa","IA",300
43.1827,-89.2358,2013,1,"sun prairie","wisconsin","WI",900
43.1827,-89.2358,2014,2,"sun prairie","wisconsin","WI",300
43.1827,-89.2358,2016,1,"sun prairie","wisconsin","WI",259200
