"","City","State","Sightings","Airport Count"
"737","Dublin","OH",18,0
"738","Elyria","OH",18,0
"739","Golden","CO",18,0
"740","Grand Forks","ND",18,1
"741","Grove City","OH",18,0
"742","Ithaca","NY",18,1
"743","Jersey City","NJ",18,0
"744","Kenmore","WA",18,0
"745","Lake Oswego","OR",18,0
"746","Lancaster","OH",18,0
"747","Leesburg","VA",18,1
"748","Lewisville","TX",18,0
"749","Lockport","NY",18,0
"750","Medina","OH",18,0
"751","Middletown","NY",18,0
"752","Moncks Corner","SC",18,0
"753","Montgomery","AL",18,1
"754","Muskogee","OK",18,1
"755","New Castle","PA",18,0
"756","Newtown","PA",18,0
"757","Ocean City","NJ",18,0
"758","Pahrump","NV",18,0
"759","Perris","CA",18,0
"760","Plant City","FL",18,0
"761","Pocatello","ID",18,1
"762","Pueblo West","CO",18,0
"763","Quincy","MA",18,0
"764","Salisbury","NC",18,0
"765","Schaumburg","IL",18,0
"766","Sequim","WA",18,0
"767","Spring Hill","TN",18,0
"768","Spring Valley","CA",18,0
"769","St. Charles","IL",18,0
"770","Tigard","OR",18,0
"771","Torrington","CT",18,0
"772","Troy","MI",18,1
"773","Ukiah","CA",18,1
"774","University Place","WA",18,0
"775","Wentzville","MO",18,0
"776","Wesley Chapel","FL",18,0
"777","Westminster","MD",18,0
"778","Winchester","VA",18,0
"779","Woodstock","GA",18,0
"780","Yukon","OK",18,0
"781","Apopka","FL",17,0
"782","Ashland","OR",17,0
"783","Brighton","CO",17,0
"784","Brookfield","WI",17,0
"785","Brookings","OR",17,0
"786","Bryan","TX",17,1
"787","Cape Canaveral","FL",17,0
"788","Carmichael","CA",17,0
"789","Claremont","CA",17,0
"790","Cleveland","TN",17,1
"791","Concord","CA",17,1
"792","Conyers","GA",17,0
"793","Eagan","MN",17,0
"794","Elkhart","IN",17,1
"795","Elko","NV",17,1
"796","Farmington","MO",17,0
"797","Fort Mill","SC",17,0
"798","Fort Smith","AR",17,1
"799","Garner","NC",17,0
"800","Grand Blanc","MI",17,0
"801","Gulf Shores","AL",17,1
"802","Hanover","PA",17,0
"803","Hattiesburg","MS",17,1
"804","Iowa City","IA",17,1
"805","Jacksonville","NC",17,1
"806","Jeffersonville","IN",17,0
"807","Kannapolis","NC",17,0
"808","Kettering","OH",17,0
"809","La Crosse","WI",17,1
"810","La Porte","IN",17,0
"811","Lafayette","CO",17,0
"812","Laguna Beach","CA",17,0
"813","Laguna Hills","CA",17,0
"814","Laguna Niguel","CA",17,0
"815","Mandeville","LA",17,0
"816","Martinez","CA",17,0
"817","Maryville","TN",17,0
"818","Minot","ND",17,2
"819","Morristown","TN",17,0
"820","New Rochelle","NY",17,0
"821","North Platte","NE",17,1
"822","Ontario","CA",17,1
"823","Parma","OH",17,0
"824","Port Richey","FL",17,0
"825","Port Townsend","WA",17,0
"826","Riverview","FL",17,0
"827","Rochester Hills","MI",17,0
"828","Salina","KS",17,1
"829","San Jacinto","CA",17,0
"830","San Luis Obispo","CA",17,1
"831","Schenectady","NY",17,0
"832","Show Low","AZ",17,1
"833","Stanwood","WA",17,0
"834","Sumner","WA",17,0
"835","Sumter","SC",17,1
"836","Tomball","TX",17,0
"837","Acworth","GA",16,0
"838","Altamonte Springs","FL",16,0
"839","Alvin","TX",16,0
"840","Attleboro","MA",16,0
"841","Bartlett","IL",16,0
"842","Bismarck","ND",16,1
"843","Buena Park","CA",16,0
"844","Castle Rock","CO",16,0
"845","Cedar Falls","IA",16,0
"846","Cedar Park","TX",16,0
"847","College Station","TX",16,1
"848","Coon Rapids","MN",16,0
"849","Crown Point","IN",16,0
"850","Davenport","WA",16,0
"851","Decatur","GA",16,0
"852","Deerfield Beach","FL",16,0
"853","Douglasville","GA",16,0
"854","Durango","CO",16,1
"855","Eden Prairie","MN",16,1
"856","El Centro","CA",16,1
"857","Fayetteville","GA",16,0
"858","Frankfort","IL",16,0
"859","Frankfort","KY",16,1
"860","Front Royal","VA",16,0
"861","Gilroy","CA",16,0
"862","Goldendale","WA",16,0
"863","Goose Creek","SC",16,0
"864","Greeneville","TN",16,0
"865","Greenfield","IN",16,0
"866","Harrisonburg","VA",16,0
"867","Haverhill","MA",16,0
"868","Hialeah","FL",16,0
"869","Holts Summit","MO",16,0
"870","Jackson","MS",16,1
"871","Jacksonville Beach","FL",16,0
"872","Key West","FL",16,3
"873","Kill Devil Hills","NC",16,1
"874","Laurelville","OH",16,0
