"state","year","freq","state_code","mean_dur"
"hawaii",2019,33,"HI",440835
"hawaii",2020,33,"HI",1005213
"hawaii",2021,1,"HI",2592000
"hawaii",NA,4,"HI",500
"idaho",1932,1,"ID",NA
"idaho",1950,1,"ID",864000
"idaho",1957,1,"ID",180
"idaho",1961,1,"ID",432000
"idaho",1974,1,"ID",14400
"idaho",1975,1,"ID",1050
"idaho",1976,2,"ID",300
"idaho",1978,2,"ID",434700
"idaho",1983,1,"ID",900
"idaho",1986,1,"ID",300
"idaho",1989,3,"ID",563.333333333333
"idaho",1990,1,"ID",NA
"idaho",1991,4,"ID",154050
"idaho",1993,1,"ID",180
"idaho",1994,2,"ID",302550
"idaho",1996,2,"ID",172950
"idaho",1998,1,"ID",120
"idaho",1999,1,"ID",864000
"idaho",2000,1,"ID",240
"idaho",2001,2,"ID",432015
"idaho",2002,3,"ID",432900
"idaho",2004,8,"ID",669766.5625
"idaho",2005,5,"ID",235.625
"idaho",2006,28,"ID",448572.272727273
"idaho",2007,14,"ID",204381.571428571
"idaho",2008,21,"ID",478206
"idaho",2009,23,"ID",590572.090909091
"idaho",2010,29,"ID",396450.384615385
"idaho",2011,43,"ID",216443.25
"idaho",2012,53,"ID",259960.276595745
"idaho",2013,97,"ID",552594.352941177
"idaho",2014,84,"ID",307249.5
"idaho",2015,88,"ID",509318.888888889
"idaho",2016,69,"ID",393779.047619048
"idaho",2017,47,"ID",340947.272727273
"idaho",2018,43,"ID",471714.324324324
"idaho",2019,94,"ID",682633.448275862
"idaho",2020,120,"ID",486871.348314607
"idaho",2021,12,"ID",285393
"idaho",NA,9,"ID",219960
"illinois",1953,1,"IL",120
"illinois",1954,1,"IL",604800
"illinois",1958,1,"IL",600
"illinois",1962,2,"IL",1200
"illinois",1964,3,"IL",1728040
"illinois",1965,3,"IL",1152000
"illinois",1966,3,"IL",1080030
"illinois",1967,3,"IL",864340
"illinois",1968,3,"IL",1050
"illinois",1969,5,"IL",1896
"illinois",1970,5,"IL",520872
"illinois",1972,2,"IL",432030
"illinois",1973,2,"IL",864150
"illinois",1974,4,"IL",3607.5
"illinois",1975,5,"IL",864150
"illinois",1976,3,"IL",600
"illinois",1977,4,"IL",427.5
"illinois",1978,3,"IL",1700
"illinois",1979,6,"IL",360180
"illinois",1980,4,"IL",119250
"illinois",1981,2,"IL",660
